10.1038/s41586-023-05964-2,37076628,PMC10172144,A somato-cognitive action network alternates with effector regions in motor cortex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10172144/,PMC,,
10.1038/s41598-021-85409-w,33731766,PMC7969937,Repetitive transcranial magnetic stimulation restores altered functional connectivity of central poststroke pain model monkeys.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7969937/,PMC,,
10.3389/fmedt.2022.856412,35450154,PMC9016146,<i>In silico</i> Effects of Synaptic Connections in the Visual Thalamocortical Pathway.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9016146/,PMC,,
10.1523/jneurosci.0071-22.2022,35953294,PMC9480880,Crossed Corticostriatal Projections in the Macaque Brain.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9480880/,PMC,,
10.3389/fncir.2021.721186,34489648,PMC8418311,Corticothalamic Pathways in Auditory Processing: Recent Advances and Insights From Other Sensory Systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8418311/,PMC,,
10.1371/journal.pcbi.1008414,33476341,PMC7853500,Modelling thalamocortical circuitry shows that visually induced LTP changes laminar connectivity in human visual cortex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7853500/,PMC,,
10.3389/fnsys.2022.1044686,36591324,PMC9794630,The role of endogenous opioid neuropeptides in neurostimulation-driven analgesia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9794630/,PMC,,
10.3389/fpsyt.2021.827541,35145441,PMC8821160,"Sleep Disturbances and Depression Are Co-morbid Conditions: Insights From Animal Models, Especially Non-human Primate Model.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8821160/,PMC,,
10.1093/cercor/bhab020,33676368,PMC8599722,Comparative Ultrastructural Analysis of Thalamocortical Innervation of the Primary Motor Cortex and Supplementary Motor Area in Control and MPTP-Treated Parkinsonian Monkeys.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8599722/,PMC,,
10.1093/brain/awac428,36382344,,Tau seeds from patients induce progressive supranuclear palsy pathology and symptoms in primates.,https://academic.oup.com/brain/article-lookup/doi/10.1093/brain/awac428,Silverchair Information Systems,,
10.1103/physreve.106.054304,36559437,,Mesoscopic architecture enhances communication across the macaque connectome revealing structure-function correspondence in the brain.,,,,
10.3389/fnins.2022.1010211,36330342,PMC9622781,Integration of somatosensory and motor-related information in the auditory system.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9622781/,PMC,,
10.1016/j.neuroimage.2021.118759,34838750,PMC8815330,High-resolution mapping and digital atlas of subcortical regions in the macaque monkey based on matched MAP-MRI and histology.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8815330/,PMC,,
10.1016/j.biopsych.2022.04.004,35773097,PMC9888668,Impact of Maternal Immune Activation on Nonhuman Primate Prefrontal Cortex Development: Insights for Schizophrenia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9888668/,PMC,,
10.1073/pnas.2123417119,36279428,PMC9636982,Understanding the roles of central and autonomic activity during sleep in the improvement of working memory and episodic memory.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636982/,PMC,,
