INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
3061	2.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	16.0	18.0	0.0	18.0	14.0	0.0	0.0	82.0	28.90371757896165	28.90371757896165	87.52209931838772
3062	5.0	0.0	0.0	11.0	14.0	6.0	2.0	20.0	5.0	0.0	0.0	8.0	11.0	4.0	1.0	19.0	41.0	14.0	6.0	152.0	134.0	31.0	29.0	188.0	121.43385025207608	106.41326513663418	284.97452956104286
3063	4.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0																	46.43650706556156	0.0	0.0
3064	6.0	3.0	0.0	9.0	0.0	0.0	0.0	18.0	3.0	2.0	0.0	8.0	2.0	1.0	1.0	12.0	11.0	6.0	0.0	40.0	6.0	1.0	11.0	54.0	54.43455859408601	72.75018845467147	126.57119364733029
3065	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	10.0	1.0	35.0	1.0	1.0	2.0	22.0	23.02585092994046	19.45910149055313	103.34647471996956
3066	0.0	0.0	0.0	4.0	4.0	14.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	7.0	0.0	0.0	0.0	4.0	0.0	15.0	8.0	43.0	1.0	1.0	78.30257270855572	59.55854152701628	121.57413467097511
3068	0.0	0.0	0.0	11.0	0.0	0.0	0.0	8.0	2.0	2.0	0.0	11.0	0.0	3.0	0.0	4.0	3.0	15.0	0.0	35.0	1.0	3.0	6.0	14.0	35.835189384561104	69.4110415917932	108.34393117254216
3070	0.0	0.0	0.0	0.0	9.0	0.0	6.0	22.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	16.0	16.0	26.0	2.0	21.0	83.0	42.0	103.0	175.0	46.64949803516911	34.110986953102454	249.79060673353166
3071	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	6.0	0.0	3.0	3.0	17.0	0.0	1.0	8.0	20.0	0.0	4.0	9.0	5.493061443340549	64.53593997869648	111.03455964425083
3072	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	25.0	0.0	55.0	9.0	11.0	0.0	22.0	14.698718867412348	12.875503299472802	131.42026878848287
