INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
6545	7.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	Y		2.985630919895231
7618	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	Y		2.985630919895231
6716	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	Y		2.985630919895231
4258	0.0	15.0	0.0	1.0	2.0	0.0	0.0	1.0	Y		2.9753212762938634
5390	0.0	3.0	0.0	0.0	23.0	0.0	0.0	3.0		Y	2.9753212762938634
4145	0.0	0.0	0.0	0.0	23.0	0.0	0.0	3.0	Y		2.9753212762938634
4708	0.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	Y	Y	2.9753212762938634
2106	0.0	2.0	0.0	1.0	11.0	0.0	0.0	0.0	Y	Y	2.9753212762938634
4840	2.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	Y		2.9753212762938634
9908	0.0	3.0	0.0	0.0	13.0	0.0	2.0	0.0	Y	Y	2.967447097809794
7682	2.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	Y		2.967447097809794
6820	0.0	4.0	0.0	0.0	13.0	0.0	2.0	0.0	Y	Y	2.967447097809794
5922	6.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	Y		2.967447097809794
8671	0.0	8.0	0.0	0.0	14.0	0.0	0.0	4.0	Y		2.9634630129852058
7405	2.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	Y		2.9634630129852058
6005	0.0	3.0	0.0	0.0	2.0	0.0	4.0	0.0	Y	Y	2.9634630129852058
6253	0.0	12.0	0.0	0.0	14.0	0.0	0.0	4.0	Y	Y	2.9634630129852058
7621	2.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	Y		2.9634630129852058
10120	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	Y		2.9634630129852058
5987	0.0	8.0	0.0	0.0	2.0	0.0	4.0	0.0		Y	2.9634630129852058
8007	0.0	6.0	0.0	0.0	0.0	0.0	0.0	18.0	Y	Y	2.9444389791664403
6899	0.0	2.0	0.0	0.0	9.0	0.0	0.0	5.0	Y	Y	2.943052015725078
6104	2.0	12.0	0.0	0.0	12.0	0.0	0.0	2.0	Y		2.930393111732933
6483	12.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	Y		2.9303931117329327
10644	0.0	4.0	0.0	0.0	13.0	0.0	0.0	4.0		Y	2.928966577241729
7247	0.0	0.0	0.0	0.0	13.0	0.0	0.0	4.0	Y		2.928966577241729
5961	0.0	6.0	0.0	0.0	13.0	0.0	0.0	4.0	Y		2.928966577241729
7061	0.0	8.0	0.0	0.0	13.0	0.0	0.0	4.0	Y		2.928966577241729
5929	14.0	15.0	0.0	0.0	22.0	0.0	0.0	0.0	Y		2.92177220851568
7708	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0		Y	2.91886522358297
6584	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0		Y	2.91886522358297
6657	0.0	23.0	0.0	0.0	0.0	0.0	6.0	0.0	Y		2.91886522358297
4811	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0		Y	2.91886522358297
9661	0.0	6.0	0.0	0.0	6.0	0.0	0.0	6.0		Y	2.9188652235829697
5578	0.0	3.0	0.0	0.0	6.0	0.0	0.0	6.0		Y	2.9188652235829697
10254	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	Y		2.9188652235829697
5826	0.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	Y		2.9188652235829697
7744	0.0	5.0	0.0	0.0	6.0	0.0	0.0	6.0		Y	2.9188652235829697
4648	0.0	12.0	0.0	0.0	12.0	0.0	0.0	4.0	Y	Y	2.8919125911648687
6322	0.0	18.0	0.0	0.0	12.0	0.0	0.0	4.0	Y	Y	2.8919125911648687
7032	0.0	4.0	0.0	0.0	12.0	0.0	0.0	4.0	Y	Y	2.8919125911648687
9638	0.0	3.0	0.0	0.0	12.0	0.0	0.0	4.0		Y	2.8919125911648687
10241	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	Y		2.8903717578961654
3432	8.0	12.0	0.0	0.0	3.0	0.0	0.0	2.0	Y		2.8903717578961654
5025	0.0	4.0	0.0	0.0	3.0	0.0	0.0	8.0	Y	Y	2.8903717578961654
2258	2.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	Y		2.890371757896165
9118	0.0	0.0	0.0	0.0	11.0	0.0	2.0	0.0	Y		2.890371757896165
4509	0.0	0.0	0.0	0.0	8.0	0.0	0.0	5.0	Y		2.890371757896165
5164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	Y		2.890371757896165
8208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	Y		2.890371757896165
6404	0.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	Y	Y	2.890371757896165
9593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	Y		2.890371757896165
6398	0.0	10.0	0.0	0.0	0.0	0.0	0.0	17.0		Y	2.890371757896165
7849	0.0	4.0	0.0	0.0	0.0	0.0	0.0	17.0		Y	2.890371757896165
8746	0.0	8.0	0.0	0.0	0.0	0.0	0.0	17.0	Y	Y	2.890371757896165
8175	0.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	Y	Y	2.890371757896165
7957	0.0	8.0	0.0	0.0	0.0	0.0	0.0	17.0	Y	Y	2.890371757896165
2262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	Y		2.890371757896165
7543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	Y		2.890371757896165
9063	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	Y		2.884160497896886
4855	0.0	3.0	0.0	0.0	4.0	0.0	0.0	7.0	Y	Y	2.884160497896886
9556	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	Y		2.884160497896886
7587	0.0	3.0	0.0	0.0	4.0	0.0	3.0	0.0		Y	2.884160497896886
7898	0.0	9.0	0.0	0.0	18.0	0.0	0.0	3.0	Y	Y	2.858513850703111
5238	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	Y		2.8518912373281013
9250	0.0	5.0	0.0	0.0	2.0	0.0	0.0	9.0	Y	Y	2.8518912373281013
9660	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	Y		2.8518912373281013
6672	0.0	4.0	0.0	0.0	11.0	0.0	0.0	4.0	Y	Y	2.8518912373281005
7371	10.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	Y		2.8468660694013503
7482	2.0	0.0	0.0	0.0	10.0	0.0	0.0	2.0	Y		2.8468660694013503
9462	0.0	6.0	0.0	0.0	5.0	0.0	0.0	6.0	Y	Y	2.8417898836693407
8780	0.0	3.0	0.0	0.0	5.0	0.0	0.0	6.0	Y	Y	2.8417898836693407
8816	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	Y		2.8417898836693407
8082	0.0	6.0	0.0	0.0	5.0	0.0	0.0	6.0	Y	Y	2.8417898836693407
5259	0.0	8.0	0.0	0.0	5.0	0.0	0.0	6.0		Y	2.8417898836693407
6110	0.0	4.0	0.0	0.0	5.0	0.0	0.0	6.0	Y	Y	2.8417898836693407
1523	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	Y		2.8417898836693407
9918	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	Y		2.8417898836693407
6660	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	Y		2.8417898836693407
7122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	Y		2.833213344056216
7893	0.0	12.0	0.0	0.0	0.0	0.0	0.0	16.0		Y	2.833213344056216
9337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	Y		2.833213344056216
9387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	Y		2.833213344056216
4890	0.0	4.0	0.0	0.0	0.0	0.0	0.0	16.0	Y	Y	2.833213344056216
2277	0.0	5.0	0.0	1.0	8.0	0.0	0.0	0.0		Y	2.831480240067973
8374	0.0	23.0	0.0	0.0	17.0	0.0	0.0	3.0	Y	Y	2.831480240067973
9308	0.0	3.0	0.0	0.0	7.0	0.0	0.0	5.0	Y	Y	2.831480240067973
5600	0.0	8.0	0.0	0.0	7.0	0.0	0.0	5.0	Y	Y	2.831480240067973
7044	0.0	6.0	0.0	0.0	0.0	0.0	1.0	5.0		Y	2.831480240067973
6211	0.0	18.0	0.0	0.0	3.0	2.0	1.0	0.0		Y	2.831480240067973
6115	0.0	13.0	0.0	0.0	17.0	0.0	0.0	3.0		Y	2.831480240067973
7495	0.0	11.0	0.0	1.0	0.0	0.0	0.0	2.0	Y	Y	2.831480240067973
7399	0.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0		Y	2.831480240067973
8141	0.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	Y		2.808385548833286
5887	0.0	7.0	0.0	0.0	10.0	0.0	0.0	4.0	Y	Y	2.808385548833286
5203	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	Y		2.802901033147999
7127	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	Y		2.802901033147999
832	17.0	12.0	0.0	0.0	14.0	0.0	0.0	0.0	Y		2.799210979499188
9031	2.0	3.0	0.0	0.0	9.0	0.0	0.0	2.0	Y		2.799210979499188
4580	0.0	3.0	0.0	0.0	0.0	0.0	0.0	15.0		Y	2.7725887222397816
8833	3.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	Y		2.7725887222397816
7045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	Y		2.7725887222397816
5198	0.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0	Y		2.7725887222397816
8061	0.0	10.0	0.0	0.0	0.0	0.0	0.0	15.0	Y	Y	2.7725887222397816
7879	0.0	3.0	0.0	0.0	0.0	0.0	0.0	15.0		Y	2.7725887222397816
8550	0.0	4.0	0.0	0.0	0.0	0.0	3.0	1.0		Y	2.7725887222397816
4784	0.0	21.0	0.0	0.0	0.0	0.0	0.0	15.0	Y	Y	2.7725887222397816
6413	0.0	6.0	0.0	0.0	3.0	0.0	3.0	0.0	Y	Y	2.7725887222397816
9570	3.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	Y		2.7725887222397816
8147	0.0	2.0	0.0	0.0	3.0	0.0	3.0	0.0	Y		2.7725887222397816
6558	0.0	5.0	0.0	0.0	0.0	0.0	0.0	15.0	Y	Y	2.7725887222397816
6986	0.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0	Y		2.7725887222397816
7175	0.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0	Y		2.7725887222397816
7964	0.0	3.0	0.0	0.0	0.0	0.0	3.0	1.0		Y	2.7725887222397816
9099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	Y		2.7725887222397816
9541	0.0	6.0	0.0	0.0	3.0	0.0	0.0	7.0		Y	2.7725887222397816
2115	0.0	4.0	0.0	1.0	7.0	0.0	0.0	0.0		Y	2.7725887222397816
8366	0.0	3.0	0.0	0.0	3.0	0.0	0.0	7.0	Y	Y	2.7725887222397816
4758	6.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	Y		2.764714543755712
9891	0.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	Y		2.764714543755712
8124	0.0	4.0	0.0	0.0	6.0	0.0	0.0	5.0	Y	Y	2.764714543755712
5611	0.0	9.0	0.0	0.0	9.0	0.0	0.0	4.0	Y	Y	2.7607304589311235
6596	0.0	0.0	0.0	0.0	9.0	0.0	0.0	4.0	Y		2.7607304589311235
9222	0.0	6.0	0.0	0.0	9.0	0.0	0.0	4.0		Y	2.7607304589311235
5844	0.0	40.0	0.0	0.0	9.0	0.0	0.0	4.0	Y		2.7607304589311235
7812	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	Y		2.7506291052723637
7324	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	Y		2.7506291052723637
9251	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	Y		2.7506291052723637
8708	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	Y		2.7506291052723637
