INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
9986	0	0	0	0	0	0	0	0
9987	0	15	0	0	0	0	0	0
9988	0	14	0	2	0	0	6	0
9989	0	2	0	0	8	0	0	2
9990	0	0	0	0	0	0	0	3
9991	0	0	0	0	3	0	0	2
9992	0	13	0	0	8	0	0	0
9993	0	6	0	0	2	0	0	0
9994	NA	NA	NA	NA	NA	NA	NA	NA
9995	0	6	0	0	2	0	0	6
9996	NA	NA	NA	NA	NA	NA	NA	NA
9997	0	7	0	0	8	0	0	20
9998	0	3	0	0	11	0	0	0
9999	0	6	0	0	4	0	0	0
10000	0	2	0	0	11	0	0	0
10001	0	0	0	0	2	0	0	0
10002	0	0	0	0	6	0	0	0
10003	0	0	0	0	0	0	0	4
10004	NA	NA	NA	NA	NA	NA	NA	NA
10005	0	0	0	0	5	0	0	2
10006	2	5	0	0	14	0	0	0
10007	0	11	0	0	6	0	0	0
10008	NA	NA	NA	NA	NA	NA	NA	NA
10009	0	6	0	0	0	0	0	4
10010	0	10	0	0	0	0	0	4
10011	0	0	0	0	0	0	0	0
10012	NA	NA	NA	NA	NA	NA	NA	NA
10013	0	0	0	0	0	0	0	0
10014	0	0	0	0	0	0	0	0
10015	0	2	0	0	0	0	0	8
10016	0	0	0	0	0	0	0	0
10017	0	0	0	0	9	0	0	0
10018	0	14	0	0	17	0	0	0
10019	5	0	0	0	2	0	0	0
10020	0	8	0	0	12	0	0	2
10021	0	0	0	2	10	0	0	6
10022	NA	NA	NA	NA	NA	NA	NA	NA
10023	0	0	0	0	0	0	0	3
10024	0	3	0	0	0	0	0	11
10025	3	0	0	0	3	18	3	6
10026	0	3	0	4	4	0	0	4
10027	0	0	0	0	0	0	0	0
10028	0	0	0	0	8	0	0	0
10029	3	0	0	0	20	0	0	9
10030	0	0	0	0	9	0	0	9
10031	0	10	0	0	28	0	6	3
10032	0	0	0	0	0	0	0	0
10033	0	10	0	13	22	0	0	0
10034	0	12	0	0	0	0	0	0
10035	NA	NA	NA	NA	NA	NA	NA	NA
10036	0	1	0	0	0	0	0	1
10037	0	0	0	4	19	2	0	1
10038	0	0	0	0	0	0	0	4
10039	0	9	0	2	0	0	0	2
10040	NA	NA	NA	NA	NA	NA	NA	NA
10041	0	5	0	0	0	0	0	7
10042	0	0	0	0	0	0	0	0
10043	0	0	0	2	15	0	0	0
10044	0	8	0	0	0	0	4	0
10045	0	2	0	0	6	0	0	10
10046	0	2	0	0	4	0	0	20
10047	0	3	0	0	3	0	0	3
10048	0	3	0	4	0	0	0	4
10049	NA	NA	NA	NA	NA	NA	NA	NA
10050	0	4	0	0	8	0	0	10
10051	0	8	0	0	0	0	4	4
10052	NA	NA	NA	NA	NA	NA	NA	NA
10053	2	2	0	0	12	0	0	0
10054	0	0	0	0	11	0	0	2
10055	0	0	0	0	0	0	0	4
10056	0	0	0	0	0	0	0	0
10057	NA	NA	NA	NA	NA	NA	NA	NA
10058	0	3	0	2	6	0	0	2
10059	NA	NA	NA	NA	NA	NA	NA	NA
10060	0	3	0	0	5	0	0	19
10061	0	0	0	0	0	0	0	0
10062	0	0	0	0	0	2	0	4
10063	NA	NA	NA	NA	NA	NA	NA	NA
10064	2	0	0	0	0	0	0	0
10065	0	4	0	0	14	0	0	0
10066	2	6	0	0	5	1	14	2
10067	0	12	0	0	17	0	0	22
10068	0	3	0	0	0	0	0	9
10069	0	0	0	0	0	0	0	0
10070	NA	NA	NA	NA	NA	NA	NA	NA
10071	0	0	0	0	0	0	0	0
10072	NA	NA	NA	NA	NA	NA	NA	NA
10073	0	5	0	0	0	0	0	0
10074	0	2	0	0	0	0	0	0
10075	NA	NA	NA	NA	NA	NA	NA	NA
10076	0	7	0	0	14	0	0	5
10077	2	0	0	0	8	0	0	3
10078	NA	NA	NA	NA	NA	NA	NA	NA
