INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
127	6.0	0.0	4.0	35.0	12.0	0.0	4.0	25.0			233.24232155807732
128	2.0	0.0	2.0	16.0	4.0	6.0	14.0	9.0			211.42078159066762
129	0.0	0.0	0.0	31.0	12.0	0.0	0.0	12.0	Y		12.511763793191623
130	4.0	12.0	0.0	22.0	0.0	2.0	2.0	18.0			143.3442419687664
131	8.0	2.0	0.0	20.0	0.0	6.0	0.0	0.0			106.55828532031981
132	4.0	5.0	0.0	16.0	0.0	0.0	0.0	5.0			96.79511785585645
134	4.0	0.0	0.0	20.0	2.0	14.0	16.0	9.0			182.25786505040242
135	12.0	3.0	0.0	20.0	0.0	0.0	0.0	0.0	Y		8.893780773039326
136	4.0	0.0	0.0	25.0	2.0	10.0	4.0	21.0			174.02361040412646
137	2.0	0.0	0.0	7.0	19.0	2.0	4.0	24.0			139.77421117498102
139	2.0	0.0	1.0	6.0	5.0	1.0	4.0	5.0			139.816134922653
140	8.0	0.0	0.0	25.0	11.0	0.0	0.0	20.0	Y		13.530829396339241
141	3.0	0.0	0.0	18.0	2.0	0.0	0.0	7.0			106.82992314489937
142	12.0	0.0	8.0	18.0	0.0	7.0	41.0	26.0			284.1425327110096
143	10.0	0.0	5.0	18.0	24.0	0.0	13.0	22.0			244.30601084013642
145	4.0	0.0	4.0	8.0	4.0	0.0	0.0	27.0			168.72455515686255
146	2.0	2.0	0.0	34.0	4.0	0.0	0.0	26.0			135.38232120278968
147	2.0	0.0	3.0	26.0	4.0	8.0	14.0	17.0			242.88466346927189
148	6.0	0.0	0.0	10.0	12.0	0.0	3.0	28.0			136.9690530692066
149	5.0	0.0	0.0	32.0	4.0	0.0	0.0	4.0			120.51305506931378
150	4.0	0.0	0.0	10.0	0.0	10.0	6.0	18.0			150.6065661376076
151	4.0	6.0	11.0	19.0	9.0	2.0	6.0	11.0			258.8735294779013
152	2.0	0.0	0.0	16.0	4.0	2.0	4.0	9.0			142.5241271100495
153	0.0	2.0	6.0	8.0	7.0	0.0	0.0	17.0			172.06794568297883
154	11.0	0.0	0.0	16.0	0.0	0.0	0.0	26.0			116.21323551038869
155	4.0	1.0	2.0	7.0	6.0	0.0	6.0	5.0	Y		16.08135173242776
156	2.0	0.0	0.0	24.0	5.0	6.0	6.0	6.0			163.0306096281218
157	15.0	0.0	0.0	18.0	14.0	0.0	4.0	22.0			156.51067994167397
159	8.0	0.0	0.0	6.0	9.0	0.0	0.0	0.0	Y		7.114680207803417
160	4.0	0.0	0.0	14.0	7.0	0.0	0.0	0.0			86.14565229812493
161	8.0	0.0	0.0	16.0	0.0	10.0	60.0	11.0			192.30758367654988
162	0.0	3.0	3.0	42.0	19.0	0.0	0.0	11.0			189.30950520278464
163	0.0	0.0	4.0	19.0	11.0	0.0	0.0	20.0			182.14058096238801
164	5.0	0.0	0.0	10.0	10.0	5.0	10.0	14.0			161.86218132536962
165	3.0	1.0	0.0	19.0	0.0	0.0	2.0	14.0			125.38446498549297
166	0.0	0.0	11.0	11.0	3.0	0.0	0.0	9.0			191.47625497175994
167	4.0	0.0	0.0	13.0	9.0	0.0	6.0	14.0			141.805702514374
168	3.0	0.0	3.0	3.0	18.0	0.0	0.0	5.0			129.6803948665051
169	9.0	0.0	0.0	7.0	0.0	5.0	3.0	35.0			138.04616350060613
170											0.0
171	5.0	0.0	0.0	29.0	0.0	9.0	36.0	14.0			198.25885351832008
172	6.0	0.0	3.0	5.0	10.0	0.0	2.0	22.0			169.79891477407858
173	4.0	0.0	0.0	10.0	21.0	2.0	2.0	20.0			141.36031524285835
174											0.0
175	3.0	0.0	0.0	19.0	0.0	0.0	3.0	0.0			102.61919406124758
176	2.0	0.0	0.0	24.0	0.0	2.0	22.0	13.0			170.3740664868165
177											0.0
178	2.0	0.0	0.0	15.0	0.0	0.0	4.0	16.0	Y		12.728148162640876
179	12.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0			83.65508038871309
180	0.0	2.0	0.0	22.0	0.0	0.0	0.0	15.0			106.11324262062656
181	3.0	3.0	0.0	5.0	0.0	0.0	0.0	7.0	Y		7.25198739530992
182	8.0	0.0	8.0	12.0	25.0	4.0	4.0	29.0			253.53724423424978
183	5.0	10.0	5.0	18.0	0.0	0.0	0.0	7.0			175.03456601122184
184	3.0	0.0	0.0	22.0	7.0	0.0	0.0	10.0			119.6949876402111
185	2.0	0.0	4.0	16.0	9.0	8.0	12.0	16.0			240.99245658292762
186	5.0	8.0	0.0	25.0	25.0	0.0	2.0	19.0			153.1382005523463
187	2.0	8.0	0.0	14.0	0.0	0.0	0.0	10.0			97.17326919887951
188									Y		0.0
189	6.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0			97.8885638606806
190	2.0	7.0	0.0	21.0	1.0	0.0	0.0	1.0	Y		9.316633048569763
191	0.0	2.0	8.0	32.0	11.0	5.0	9.0	11.0			265.031642964122
192	6.0	0.0	0.0	8.0	9.0	2.0	2.0	24.0			135.82715610903702
193	2.0	0.0	0.0	16.0	2.0	8.0	19.0	13.0			175.11525966091114
194	4.0	9.0	14.0	14.0	19.0	0.0	9.0	10.0			257.5668431244785
195	2.0	0.0	4.0	6.0	3.0	0.0	0.0	13.0	Y		15.184037676883944
196	0.0	0.0	11.0	31.0	16.0	0.0	0.0	12.0			225.85522385640965
197	6.0	0.0	0.0	12.0	9.0	0.0	0.0	0.0			85.36621014678522
198	4.0	0.0	2.0	18.0	12.0	2.0	2.0	18.0			195.33709938373073
199	2.0	1.0	0.0	19.0	2.0	0.0	2.0	23.0			134.13915235903198
200											0.0
201	0.0	8.0	0.0	24.0	10.0	0.0	0.0	10.0		Y	11.644032471368059
202	2.0	0.0	0.0	22.0	0.0	0.0	0.0	9.0			106.90626777150976
203	2.0	0.0	1.0	24.0	20.0	0.0	6.0	22.0			189.4570508711817
204	2.0	7.0	2.0	23.0	0.0	0.0	2.0	2.0			156.35420596546635
205	3.0	2.0	0.0	31.0	0.0	0.0	0.0	27.0			126.89691447734467
206	9.0	2.0	0.0	2.0	0.0	3.0	6.0	31.0			116.68718755669886
207	0.0	11.0	5.0	21.0	14.0	0.0	0.0	4.0			178.58107023293212
208											0.0
209	6.0	0.0	0.0	17.0	0.0	0.0	3.0	22.0			134.13820226877056
210	3.0	0.0	0.0	28.0	0.0	6.0	21.0	20.0			187.38383022342342
211	9.0	0.0	8.0	8.0	7.0	0.0	0.0	11.0			189.5787971981037
212	3.0	0.0	0.0	33.0	5.0	0.0	0.0	0.0	Y		10.404928226714377
