INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX
10435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	548.0	0.0	58.0	236.0	55.0	52.0	190.0	0.0
10436	0.0	6.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	12.0	0.0	0.0	2.0	34.0	0.0	9.0	0.0	83.0	4.0	0.0	36.636086055098176
10437	0.0	18.0	0.0	9.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	8.0	2.0	0.0	0.0	4.0	1.0	65.0	1.0	54.0	8.0	0.0	6.0	47.0	42.84243242901895
10438	0.0	3.0	0.0	0.0	0.0	7.0	22.0	28.0	0.0	7.0	0.0	0.0	0.0	2.0	13.0	10.0	2.0	47.0	0.0	13.0	7.0	67.0	86.0	94.0	88.1290437084677
10439	0.0	0.0	0.0	36.0	0.0	0.0	36.0	0.0	0.0	2.0	0.0	4.0	1.0	0.0	4.0	0.0	15.0	16.0	0.0	91.0	9.0	1.0	53.0	19.0	126.38212694254784
10440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0
10441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	15.0	908.0	3.0	64.0	41.0	11.0	30.0	70.0	0.0
10442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	3.0	7.0	864.0	1.0	39.0	185.0	103.0	80.0	203.0	0.0
10443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	36.0	1.0	7.0	23.0	0.0	1.0	9.0	0.0
10444	0.0	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	42.0	0.0	8.0	17.0	1.0	53.0	0.0	19.459101490553135
10445	0.0	50.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	14.0	0.0	1.0	4.0	4.0	40.0	1.0	3.0	81.0	0.0	2.0	39.0	0.0
