INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
1136	4.0	3.0	0.0	7.0	6.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	4.0	0.0	0.0	0.0	95.0	66.0	0.0	122.0	67.0	1.0	1.0	11.0	43.84575656417614	34.75368256379593	139.6724274212395
180	0.0	1.0	0.0	22.0	0.0	0.0	0.0	15.0																	43.83159140937051	0.0	0.0
2887	3.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	15.0	4.0	0.0	38.0	27.0	0.0	3.0	11.0	43.82026634673882	46.1138144598737	104.091127269841
6686	9.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	19.0	67.0	0.0	45.0	12.0	9.0	79.0	41.0	43.82026634673882	31.021724088402145	181.1897843754229
3192	3.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	1.0	0.0	3.0	3.0	1.0	34.0	0.0	5.0	4.0	3.0	43.82026634673881	48.36281906951478	122.83355533235344
1679	5.0	9.0	0.0	2.0	0.0	0.0	6.0	0.0	3.0	5.0	0.0	1.0	0.0	0.0	4.0	0.0	19.0	64.0	0.0	11.0	12.0	45.0	26.0	2.0	43.75764888352669	33.30527560268325	174.30661951410207
6739	0.0	2.0	0.0	5.0	16.0	0.0	0.0	15.0	0.0	1.0	0.0	6.0	9.0	0.0	0.0	7.0	3.0	27.0	1.0	29.0	100.0	0.0	3.0	77.0	43.74938044642432	39.982940302802646	117.26127825032184
2407	2.0	0.0	0.0	4.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	42.0	2.0	78.0	213.0	4.0	16.0	78.0	43.74152456189812	0.0	210.9020214343776
5713	0.0	0.0	0.0	21.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	14.0	2.0	0.0	0.0	8.0	1.0	54.0	1.0	187.0	8.0	0.0	0.0	29.0	43.73517132089084	43.559686341043744	96.60201437242452
3606	0.0	3.0	0.0	0.0	4.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	2.0	2.0	22.0	0.0	6.0	41.0	23.0	25.0	8.0	43.72603094331457	17.158780477203237	149.9907489106476
1697	1.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	4.0	2.0	20.0	0.0	102.0	3.0	0.0	7.0	59.0	43.71925281015122	36.10528499271501	99.44197792703892
5394	2.0	1.0	0.0	2.0	2.0	0.0	0.0	33.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	18.0	36.0	45.0	1.0	22.0	105.0	114.0	93.0	505.0	43.71081547866366	32.69190558925177	271.9169872137169
1812	0.0	5.0	1.0	4.0	1.0	0.0	1.0	1.0	0.0	4.0	1.0	4.0	2.0	0.0	1.0	1.0	10.0	79.0	3.0	60.0	61.0	1.0	32.0	82.0	43.70248331108243	46.09445196521117	182.5388913184385
7214	6.0	3.0	0.0	0.0	16.0	0.0	0.0	12.0	2.0	1.0	0.0	0.0	7.0	0.0	0.0	7.0	14.0	10.0	1.0	4.0	127.0	0.0	1.0	94.0	43.67732627590211	30.39424394235957	109.66877768696524
2404	1.0	1.0	0.0	7.0	7.0	0.0	0.0	3.0	0.0	1.0	0.0	4.0	5.0	0.0	0.0	3.0	4.0	99.0	9.0	88.0	57.0	0.0	6.0	29.0	43.66827237527655	30.598353914960843	166.10233322613337
2369	2.0	11.0	0.0	2.0	22.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	6.0	3.0	95.0	0.0	65.0	135.0	7.0	16.0	120.0	43.66602644011304	17.496797807089465	165.09398607935034
1201	2.0	9.0	0.0	11.0	1.0	0.0	0.0	5.0	2.0	7.0	0.0	11.0	1.0	0.0	0.0	2.0	2.0	94.0	1.0	32.0	6.0	0.0	4.0	20.0	43.65455244751301	40.63510364734171	95.21866629037814
6141	6.0	0.0	0.0	0.0	6.0	0.0	0.0	17.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	13.0	6.0	0.0	8.0	29.0	2.0	3.0	47.0	43.64051102531052	31.63968391864597	116.66818011881549
1292	0.0	3.0	0.0	8.0	10.0	0.0	0.0	11.0	0.0	4.0	0.0	5.0	12.0	0.0	0.0	11.0	16.0	19.0	13.0	74.0	84.0	4.0	12.0	171.0	43.61366666405427	39.94799890366004	237.28096375901495
1520	2.0	1.0	0.0	4.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	6.0	0.0	0.0	10.0	6.0	27.0	0.0	61.0	38.0	0.0	0.0	70.0	43.61180234218276	43.69127288263061	93.69724393650846
388	6.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	21.0	27.0	0.0	67.0	138.0	11.0	2.0	14.0	43.60067017706464	22.02436177450121	165.33796911859943
1467	6.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	2.0	1.0	0.0	4.0	2.0	0.0	0.0	0.0	44.0	20.0	0.0	13.0	49.0	4.0	13.0	20.0	43.60067017706464	31.18726909324276	151.73021207900138
7937	12.0	3.0	0.0	0.0	8.0	0.0	0.0	6.0	6.0	2.0	0.0	2.0	5.0	0.0	0.0	2.0	24.0	14.0	0.0	3.0	31.0	0.0	5.0	9.0	43.592578484333245	42.699858589378834	87.3948011289259
2968	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	35.0	0.0	1.0	2.0	6.0	43.56708826689592	5.493061443340549	80.01363515327888
2366	0.0	0.0	0.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	6.0	4.0	5.0	25.0	0.0	69.0	13.0	1.0	48.0	24.0	43.56708826689592	55.01258210544727	135.95716640145363
737	2.0	0.0	0.0	14.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	13.0	5.0	0.0	0.0	4.0	12.0	36.0	6.0	175.0	19.0	2.0	9.0	53.0	43.55968634104375	48.941737648942926	198.70192972998527
7181	14.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	7.0	0.0	0.0	6.0	0.0	0.0	1.0	1.0	86.0	19.0	0.0	7.0	1.0	2.0	18.0	12.0	43.55968634104375	50.65072461575067	127.16915031137025
1711	2.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	11.0	26.0	0.0	33.0	49.0	7.0	6.0	7.0	43.559686341043744	29.58331372614324	144.52625307172272
2346	3.0	4.0	0.0	3.0	8.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	13.0	0.0	5.0	9.0	0.0	3.0	12.0	43.54032384638121	5.849964984834282	73.86594682646732
1513	3.0	7.0	0.0	2.0	15.0	0.0	0.0	5.0	1.0	4.0	0.0	2.0	8.0	0.0	0.0	3.0	9.0	59.0	0.0	23.0	75.0	5.0	9.0	33.0	43.51192437185952	32.6163135596929	144.76420974798975
9312	3.0	0.0	0.0	0.0	14.0	0.0	4.0	0.0	2.0	1.0	0.0	0.0	11.0	0.0	2.0	0.0	5.0	18.0	1.0	3.0	53.0	1.0	18.0	2.0	43.49757374105096	33.0104846611823	111.96565493817045
1857	6.0	2.0	0.0	2.0	20.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	11.0	0.0	0.0	0.0	20.0	13.0	0.0	5.0	42.0	4.0	2.0	1.0	43.47061198851512	31.83265430461847	108.5313220269149
5587	0.0	4.0	0.0	6.0	6.0	0.0	0.0	32.0	0.0	3.0	0.0	3.0	4.0	0.0	0.0	19.0	4.0	43.0	1.0	75.0	49.0	0.0	18.0	290.0	43.4523142182939	34.11620581889958	146.53313392802903
2599	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	7.0	0.0	0.0	3.0	0.0	1.0	8.0	0.0	14.0	0.0	0.0	6.0	3.0	43.43805421853684	40.20253647247683	56.00809795810169
9609	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	6.0	0.0	2.0	4.0	9.0	26.0	1.0	217.0	99.0	0.0	11.0	87.0	43.43805421853684	56.280286411969925	157.86940884003283
1317	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	8.0	8.0	0.0	7.0	1.0	1.0	0.0	1.0	43.438054218536834	39.01921651769386	59.16662745228648
2952	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	16.0	2.0	0.0	0.0	3.0	41.0	39.0	1.0	150.0	37.0	0.0	12.0	69.0	43.438054218536834	53.233315939581175	162.58031574024778
3127	0.0	0.0	0.0	12.0	4.0	0.0	0.0	6.0	0.0	3.0	0.0	11.0	9.0	0.0	0.0	6.0	20.0	28.0	1.0	161.0	41.0	0.0	1.0	51.0	43.426233882062434	43.31895398588702	137.29131407350718
6651	4.0	4.0	0.0	0.0	17.0	0.0	0.0	24.0	1.0	1.0	0.0	0.0	9.0	0.0	0.0	6.0	14.0	28.0	4.0	5.0	99.0	1.0	2.0	122.0	43.42174121329463	26.78765365472636	150.43529205886475
